gas,CO,hydrogen,class
138.00,78.00,232.00,1
138.00,78.00,232.00,1
138.00,78.00,231.00,1
138.00,78.00,231.00,1
138.00,78.00,231.00,1
138.00,78.00,231.00,1
138.00,78.00,232.00,1
137.00,78.00,231.00,1
137.00,78.00,230.00,1
137.00,78.00,231.00,1
137.00,78.00,230.00,1
137.00,77.00,230.00,1
137.00,78.00,230.00,1
137.00,77.00,230.00,1
137.00,77.00,230.00,1
137.00,77.00,230.00,1
137.00,77.00,230.00,1
137.00,77.00,230.00,1
137.00,77.00,230.00,1
137.00,77.00,229.00,1
137.00,77.00,229.00,1
136.00,77.00,229.00,1
136.00,77.00,229.00,1
136.00,78.00,229.00,1
136.00,77.00,229.00,1
136.00,77.00,229.00,1
136.00,77.00,229.00,1
136.00,77.00,229.00,1
136.00,77.00,228.00,1
136.00,77.00,229.00,1
136.00,77.00,228.00,1
136.00,77.00,228.00,1
136.00,77.00,228.00,1
136.00,77.00,228.00,1
136.00,77.00,228.00,1
136.00,77.00,228.00,1
136.00,77.00,228.00,1
136.00,77.00,227.00,1
136.00,76.00,227.00,1
136.00,77.00,227.00,1
136.00,77.00,228.00,1
136.00,77.00,227.00,1
135.00,77.00,227.00,1
136.00,77.00,227.00,1
136.00,77.00,227.00,1
135.00,77.00,227.00,1
135.00,77.00,227.00,1
135.00,77.00,227.00,1
135.00,77.00,226.00,1
135.00,77.00,227.00,1
135.00,77.00,226.00,1
135.00,77.00,226.00,1
135.00,77.00,226.00,1
135.00,77.00,227.00,1
135.00,76.00,226.00,1
135.00,76.00,226.00,1
135.00,77.00,226.00,1
135.00,77.00,226.00,1
134.00,76.00,226.00,1
135.00,77.00,226.00,1
135.00,76.00,226.00,1
134.00,76.00,226.00,1
135.00,77.00,225.00,1
134.00,77.00,225.00,1
134.00,76.00,225.00,1
134.00,76.00,225.00,1
134.00,76.00,225.00,1
134.00,76.00,225.00,1
134.00,77.00,225.00,1
134.00,76.00,225.00,1
134.00,77.00,225.00,1
134.00,76.00,225.00,1
134.00,76.00,225.00,1
134.00,76.00,225.00,1
134.00,76.00,224.00,1
134.00,76.00,224.00,1
134.00,76.00,224.00,1
134.00,76.00,224.00,1
134.00,76.00,224.00,1
134.00,76.00,224.00,1
134.00,76.00,224.00,1
134.00,76.00,224.00,1
134.00,76.00,224.00,1
134.00,76.00,224.00,1
134.00,77.00,224.00,1
